thread_id,title,thread_url,comment_count,first_datetime_utc,last_datetime_utc
6663c5ae63d0,"Vợ qua đời sau khi mua bảo hiểm 150 triệu/năm, chồng vất vả đòi DN trả gần 6,5 tỷ",https://voz.vn/t/vo-qua-doi-sau-khi-mua-bao-hiem-150-trieu-nam-chong-vat-va-doi-dn-tra-gan-6-5-ty.1262813/,14,2026-07-22T08:15:12+00:00,2026-07-22T08:29:58+00:00
673fbc223b05,Mặt bằng kinh doanh ở Hà Nội nhan nhản biển cho thuê,https://voz.vn/t/mat-bang-kinh-doanh-o-ha-noi-nhan-nhan-bien-cho-thue.1261959/,20,2026-07-19T12:21:31+00:00,2026-07-19T15:02:35+00:00
6767a5e3e56c,Cựu Bộ trưởng Ukraine lên tiếng sau khi tướng Syrskyi mất chức,https://voz.vn/t/cuu-bo-truong-ukraine-len-tieng-sau-khi-tuong-syrskyi-mat-chuc.1262728/,4,2026-07-22T04:17:22+00:00,2026-07-22T08:26:04+00:00
701a75204ad8,Một startup từng lên Shark Tank thông báo dừng hoạt động,https://voz.vn/t/mot-startup-tung-len-shark-tank-thong-bao-dung-hoat-dong.1262496/,19,2026-07-21T08:01:21+00:00,2026-07-21T08:55:52+00:00
72e95cfe515b,"[Dịch]Dân Trung Quốc muốn chối bỏ nhà Thanh vì ba thế kỷ nhục nhã, nhưng lại khiến chính quyền lo sợ.",https://voz.vn/t/dich-dan-trung-quoc-muon-choi-bo-nha-thanh-vi-ba-the-ky-nhuc-nha-nhung-lai-khien-chinh-quyen-lo-so.1262446/,20,2026-07-21T04:39:48+00:00,2026-07-21T04:59:41+00:00
769306e723d2,[DỊCH] Mỹ gây sức ép lên Việt Nam về rào cản thương mại và vi phạm sở hữu trí tuệ trong đàm phán thỏa thuận,https://voz.vn/t/dich-my-gay-suc-ep-len-viet-nam-ve-rao-can-thuong-mai-va-vi-pham-so-huu-tri-tue-trong-dam-phan-thoa-thuan.1261053/,20,2026-07-16T05:39:22+00:00,2026-07-22T07:13:26+00:00
7ae1b05b89a4,"LGBT, les, gay, gốm sứ",https://voz.vn/t/lgbt-les-gay-gom-su.6167/,18,2020-03-18T09:42:08+00:00,2020-03-18T10:52:15+00:00
802d3971618a,Bằng cách nào để tố cáo/khiếu nại/kêu gọi nhà nước hạn chế nạn LGBT trên truyền hình và các kênh giải trí chính thống?,https://voz.vn/t/bang-cach-nao-%C4%91e-to-cao-khieu-nai-keu-goi-nha-nuoc-han-che-nan-lgbt-tren-truyen-hinh-va-cac-kenh-giai-tri-chinh-thong.119125/,20,2020-08-28T18:50:44+00:00,2020-08-29T01:57:57+00:00
816649330eca,Anh em ở Nhật vào tâm sự nhỉ 3.0,https://voz.vn/t/anh-em-o-nhat-vao-tam-su-nhi-3-0.1250878/,19,2026-06-14T12:15:52+00:00,2026-06-14T23:22:51+00:00
845fb8b297ef,Phụ nữ hiện đại chọn nội y theo tiêu chí mới: Trải nghiệm thay vì chỉ kiểu dáng,https://voz.vn/t/phu-nu-hien-dai-chon-noi-y-theo-tieu-chi-moi-trai-nghiem-thay-vi-chi-kieu-dang.1261919/,20,2026-07-19T08:53:44+00:00,2026-07-19T09:28:40+00:00
